Project.Name,Time.point,Nutrients,Trophic.type,Plankton.pres.abs,Tank,Tank.rep,TDN..ug.L,TDP..ug.L,DOC..mg.L
Trophobiomes,T0.5,High,High,abs -,4,1,783.16,86.07,1.2
Trophobiomes,T0.5,High,High,abs -,8,2,582.4,23.22,1.2
Trophobiomes,T0.5,High,High,abs -,16,3,483.49,83.9,3
Trophobiomes,T0.5,High,High,pres +,2,1,407.27,8.36,1.2
Trophobiomes,T0.5,High,High,pres +,7,2,858.25,132.82,1.3
Trophobiomes,T0.5,High,High,pres +,13,3,1014.19,15.48,1.95
Trophobiomes,T1,High,High,abs -,4,1,414.22,45.51,2.3
Trophobiomes,T1,High,High,abs -,8,2,499.09,8.67,2.2
Trophobiomes,T1,High,High,abs -,16,3,466.34,20.74,2
Trophobiomes,T1,High,High,pres +,2,1,440.24,21.67,2.3
Trophobiomes,T1,High,High,pres +,7,2,385.05,10.22,2.8
Trophobiomes,T1,High,High,pres +,13,3,256.68,26.32,2.5
Trophobiomes,T2,High,High,abs -,4,1,991.55,4.95,2.3
Trophobiomes,T2,High,High,abs -,8,2,963.05,23.22,2.7
Trophobiomes,T2,High,High,abs -,16,3,606.77,6.97,2.6
Trophobiomes,T2,High,High,pres +,2,1,844.29,11.46,2.4
Trophobiomes,T2,High,High,pres +,7,2,1105.56,26.32,3.4
Trophobiomes,T2,High,High,pres +,13,3,986.8,15.17,3.4
Trophobiomes,T3,High,High,abs -,4,1,834.79,10.22,5.7
Trophobiomes,T3,High,High,abs -,8,2,587.77,40.56,7.45
Trophobiomes,T3,High,High,abs -,16,3,345.5,4.33,4.6
Trophobiomes,T3,High,High,pres +,2,1,393,11.46,8.4
Trophobiomes,T3,High,High,pres +,7,2,896.54,74.92,9.4
Trophobiomes,T3,High,High,pres +,13,3,597.03,12.38,10.2
Trophobiomes,T0.5,Low,Low,abs -,6,1,774.19,26.93,1
Trophobiomes,T0.5,Low,Low,abs -,12,2,185.63,14.55,1.3
Trophobiomes,T0.5,Low,Low,abs -,14,3,677.53,17.96,1.3
Trophobiomes,T0.5,Low,Low,pres +,1,1,411.61,89.78,0.9
Trophobiomes,T0.5,Low,Low,pres +,10,2,741.97,36.22,1.2
Trophobiomes,T0.5,Low,Low,pres +,17,3,159.43,30.34,1
Trophobiomes,T1,Low,Low,abs -,6,1,171.23,7.12,1.3
Trophobiomes,T1,Low,Low,abs -,12,2,146.09,8.36,1.6
Trophobiomes,T1,Low,Low,abs -,14,3,105.43,17.65,1.4
Trophobiomes,T1,Low,Low,pres +,1,1,275.8,39.32,1.1
Trophobiomes,T1,Low,Low,pres +,10,2,320.6,31.27,1.7
Trophobiomes,T1,Low,Low,pres +,17,3,168.08,40.25,1.5
Trophobiomes,T2,Low,Low,abs -,6,1,174.49,4.02,1.3
Trophobiomes,T2,Low,Low,abs -,12,2,236.24,8.98,1.75
Trophobiomes,T2,Low,Low,abs -,14,3,507.01,29.41,1.6
Trophobiomes,T2,Low,Low,pres +,1,1,772.91,43.96,1.4
Trophobiomes,T2,Low,Low,pres +,10,2,901.3,24.46,2.4
Trophobiomes,T2,Low,Low,pres +,17,3,259.99,42.11,1.5
Trophobiomes,T3,Low,Low,abs -,6,1,245.74,6.19,4.9
Trophobiomes,T3,Low,Low,abs -,12,2,212.49,21.98,6.4
Trophobiomes,T3,Low,Low,abs -,14,3,245.74,65.02,2.9
Trophobiomes,T3,Low,Low,pres +,1,1,331.25,61.61,3.8
Trophobiomes,T3,Low,Low,pres +,10,2,369.25,8.67,3.9
Trophobiomes,T3,Low,Low,pres +,17,3,231.49,5.88,5.2
Nutrient.stock,NA,NA,NA,NA,NA,NA,15411040.47,385926.01,NA
Nutrient.stock,NA,NA,NA,NA,NA,NA,15383020.4,384295.67,NA
Trophobiomes,T0.5,Plant,Plant,abs -,3,1,261.01,327.86,16.45
Trophobiomes,T0.5,Plant,Plant,abs -,9,2,225.42,271.83,15.4
Trophobiomes,T0.5,Plant,Plant,abs -,15,3,313.54,81.11,NA
Trophobiomes,T0.5,Plant,Plant,pres +,5,1,173.58,260.37,17.4
Trophobiomes,T0.5,Plant,Plant,pres +,11,2,279.08,391.33,16.3
Trophobiomes,T0.5,Plant,Plant,pres +,18,3,212.25,165.63,15.2
Trophobiomes,T1,Plant,Plant,abs -,3,1,404.48,246.13,10.2
Trophobiomes,T1,Plant,Plant,abs -,9,2,487.55,230.65,9.2
Trophobiomes,T1,Plant,Plant,abs -,15,3,298.17,86.38,9.6
Trophobiomes,T1,Plant,Plant,pres +,5,1,423.97,119.35,12.2
Trophobiomes,T1,Plant,Plant,pres +,11,2,310.98,258.51,9.9
Trophobiomes,T1,Plant,Plant,pres +,18,3,359.75,250.15,9.6
Trophobiomes,T2,Plant,Plant,abs -,3,1,502.26,61.61,11.3
Trophobiomes,T2,Plant,Plant,abs -,9,2,402.5,186.38,9.8
Trophobiomes,T2,Plant,Plant,abs -,15,3,1024.81,47.37,12.4
Trophobiomes,T2,Plant,Plant,pres +,5,1,701.78,44.58,14
Trophobiomes,T2,Plant,Plant,pres +,11,2,837.16,171.52,12.25
Trophobiomes,T2,Plant,Plant,pres +,18,3,459.51,5.26,11.1
Trophobiomes,T3,Plant,Plant,abs -,3,1,585.39,86.69,21
Trophobiomes,T3,Plant,Plant,abs -,9,2,435.76,43.34,15.9
Trophobiomes,T3,Plant,Plant,abs -,15,3,492.76,61.61,19.2
Trophobiomes,T3,Plant,Plant,pres +,5,1,554.52,69.04,17.5
Trophobiomes,T3,Plant,Plant,pres +,11,2,440.51,131.27,17.7
Trophobiomes,T3,Plant,Plant,pres +,18,3,559.27,49.85,19.1