Time..Sample,Site..Tank,F-value.1,F-value.2,Chlorophyll.1.ug..L,Chlorophyll.2.ug..L,Volume.ml
0.5,1,63.7,66.3,2.12,2.21,300
0.5,2,146.4,145,6.1,6.04,240
0.5,3,28.4,28.3,1.18,1.18,240
0.5,4,242.8,244.8,13.49,13.6,180
0.5,5,23.2,22.7,0.97,0.95,240
0.5,6,51,50.7,1.7,1.69,300
0.5,7,195.1,196,8.13,8.17,240
0.5,8,208,213.5,11.55,11.86,180
0.5,9,58.8,58.4,1.96,1.95,300
0.5,10,127.8,134.8,3.55,3.75,360
0.5,11,19.3,19.6,0.8,0.81,240
0.5,12,52.6,56.4,2.19,2.35,240
0.5,13,130.7,132.5,4.36,4.42,300
0.5,14,36.4,36.8,1.21,1.23,300
0.5,15,18.11,17.9,0.76,0.74,240
0.5,16,125.9,125.8,5.25,5.24,240
0.5,17,95.8,92.1,2.66,2.7,360
0.5,18,34.9,36,1.94,2,180
1,1,30.5,31.2,1.02,1.04,300
1,2,14.7,14.7,0.49,0.49,300
1,3,31.7,31.2,1.06,1.04,300
1,4,23.2,23,0.77,0.77,300
1,5,17,17.2,0.57,0.57,300
1,6,29.7,29.6,0.71,0.7,420
1,7,12.3,12.2,0.41,0.41,300
1,8,48.6,49.2,1.62,1.64,300
1,9,106.4,107.4,5.91,5.97,180
1,10,25.5,25.7,0.85,0.86,300
1,11,1176.1,176.7,5.87,5.89,300
1,12,30.1,30.4,2.51,2.53,120
1,13,10.7,10.3,0.36,0.34,300
1,14,13.9,14,0.46,0.47,300
1,15,414.6,418.5,34.55,34.91,120
1,16,14.2,15.3,0.47,0.51,300
1,17,27.5,27.2,0.92,0.91,300
1,18,159.6,162.6,13.3,13.55,120
2,1,34.6,35.2,1.15,1.17,300
2,2,11,12.1,0.37,0.4,300
2,3,96.2,97.3,8.02,8.11,120
2,4,128.3,134.1,5.34,5.59,240
2,5,63,63.2,5.25,5.27,120
2,6,52.9,53.7,2.21,2.24,240
2,7,10.2,9.6,0.56,0.54,180
2,8,70.7,72.7,3.93,4.04,180
2,9,94.8,95.6,7.9,7.97,120
2,10,13.5,13.7,0.45,0.46,300
2,11,220.4,223.3,18.37,18.61,120
2,12,30,31.6,1,1.05,300
2,13,10.1,10.1,0.34,0.33,300
2,14,60.5,61.1,2.02,2.04,300
2,15,213.5,207.6,11.86,11.53,180
2,16,188.3,191,7.84,7.96,210
2,17,15.1,14.9,0.5,0.5,300
2,18,126.4,136.6,10.53,11.38,120
3,1,72.6,73.5,2.9,2.94,250
3,2,6.9,7.3,0.28,0.29,250
3,3,85.3,84.5,10.4,10.31,82
3,4,24.1,24.5,0.97,0.98,250
3,5,213.6,204.2,15.26,14.59,140
3,6,27.2,27.3,1.09,1.09,250
3,7,6.5,6.6,0.28,0.27,250
3,8,92.4,95.7,3.7,3.83,250
3,9,81.8,80.2,12.03,11.79,68
3,10,44.9,45,1.8,1.8,250
3,11,35.7,35.6,1.43,1.42,250
3,12,139.2,141.6,7.17,7.32,194
3,13,13.3,12.5,0.53,0.5,250
3,14,125.9,127.2,5.04,5.09,250
3,15,104.9,105.9,17.48,17.65,60
3,16,66,66.9,2.64,2.67,250
3,17,30.1,30.1,1.2,1.2,250
3,18,110.1,112.3,22.02,22.46,50
Blank,NA,0,0,0.02,0.01,10
Blank ,NA,0.1,0,0.08,0,0
Blank1,NA,0.2,0.2,0.01,0.01,0
Sierra Longterm,Secret,40.8,41,0.85,0.85,480
Sierra Longterm,Gaylor Upper,55.4,55.3,1.32,1.32,420
Sierra Longterm,Gaylor Lower,42.6,43.5,0.89,0.91,480
Sierra Longterm,Lukens,33.1,35.1,0.69,0.73,480
Sierra Longterm,May Pond,47.3,47.4,1.58,1.58,300
Sierra Longterm,Sunrise 2,34.8,34.1,1.94,1.89,180
Sierra Longterm,Sunrise 3,28.6,28.7,0.68,0.68,420
Sierra Longterm,Cascade,28.8,28.6,0.53,0.53,540
Sierra Longterm,Greenstone,50,51.6,1.67,1.72,300
Sierra Longterm,Sunrise 1,21.6,22.4,0.6,0.62,360
Sierra Longterm,Polly Dome 1,16.9,20.6,0.47,0.57,360
Sierra Longterm,Polly Dome 3,21.1,22.4,1.76,1.87,120
Sierra Longterm,Polly Dome 2,39.2,40,1.63,1.67,240
Sierra Longterm,Granite 1,27.6,27.3,0.92,0.91,300
Sierra Longterm,Granite 2,29.4,31.1,0.98,1.04,300
Sierra Longterm,Cathedral Lower,28.2,28.7,0.94,0.96,300
Sierra Longterm,Cathedral Upper,36.6,39.6,1.53,1.65,240
Sierra Longterm,Steelhead,34.6,34.3,0.72,0.71,480
Sierra Longterm,Wasco,34.2,34.4,1.14,1.15,300
Sierra Longterm,Sunrise 2 repeat,238.2,238.3,4.76,4.77,500
Sierra Longterm,Sunrise 3 repeat,29.3,29.8,0.59,0.6,500
Sierra Longterm,Blue AA,19.6,19.5,0.36,0.36,540
Sierra.Longterm,Convict Lake,11,10.8,0.26,0.26,420
Sierra.Longterm,Eastern Brook Lake,11.9,12,0.4,0.4,300
Sierra.Longterm,Serene Lake,39.4,39.9,1.31,1.33,300
Sierra.Longterm,Cooney Lake ,19,19.1,0.45,0.45,420
Sierra.Longterm,Blue Lake ,20.3,20.4,0.34,0.34,600
Sierra.Longterm,Virginia Lake ,28.1,29.4,0.67,0.7,420
Sierra.Longterm,May Lake ,11.9,12.2,0.2,0.2,600
Sierra.Longterm,Helen Lake,30.4,30.6,0.72,0.73,420
Sierra.Longterm,Spillway Lake,34,35,0.8,0.83,420
Sierra.Longterm,Gardisky Lake,61,62.1,0.69,0.69,900
Sierra.Longterm,Elizabeth,24.7,24.9,0.41,0.41,600