Time.Sample,Nutrients,Trophic.type,Plankton.pres.abs,Tank,vol.filtered..ml,F-value.1,F-value.2,chl.1.ug..L,chl.2.ug..L
T0.5,Low,Low,pres +,1,300,63.7,66.3,2.12,2.21
T0.5,High,High,pres +,2,240,146.4,145,6.1,6.04
T0.5,Plant.low,Plant,abs -,3,240,28.4,28.3,1.18,1.18
T0.5,High,High,abs -,4,180,242.8,244.8,13.49,13.6
T0.5,Plant.low,Plant,pres +,5,240,23.2,22.7,0.97,0.95
T0.5,Low,Low,abs -,6,300,51,50.7,1.7,1.69
T0.5,High,High,pres +,7,240,195.1,196,8.13,8.17
T0.5,High,High,abs -,8,180,208,213.5,11.55,11.86
T0.5,Plant.low,Plant,abs -,9,300,58.8,58.4,1.96,1.95
T0.5,Low,Low,pres +,10,360,127.8,134.8,3.55,3.75
T0.5,Plant.low,Plant,pres +,11,240,19.3,19.6,0.8,0.81
T0.5,Low,Low,abs -,12,240,52.6,56.4,2.19,2.35
T0.5,High,High,pres +,13,300,130.7,132.5,4.36,4.42
T0.5,Low,Low,abs -,14,300,36.4,36.8,1.21,1.23
T0.5,Plant.low,Plant,abs -,15,240,18.11,17.9,0.76,0.74
T0.5,High,High,abs -,16,240,125.9,125.8,5.25,5.24
T0.5,Low,Low,pres +,17,360,95.8,92.1,2.66,2.7
T0.5,Plant.low,Plant,pres +,18,180,34.9,36,1.94,2
T1,Low,Low,pres +,1,300,30.5,31.2,1.02,1.04
T1,High,High,pres +,2,300,14.7,14.7,0.49,0.49
T1,Plant.low,Plant,abs -,3,300,31.7,31.2,1.06,1.04
T1,High,High,abs -,4,300,23.2,23,0.77,0.77
T1,Plant.low,Plant,pres +,5,300,17,17.2,0.57,0.57
T1,Low,Low,abs -,6,420,29.7,29.6,0.71,0.7
T1,High,High,pres +,7,300,12.3,12.2,0.41,0.41
T1,High,High,abs -,8,300,48.6,49.2,1.62,1.64
T1,Plant.low,Plant,abs -,9,180,106.4,107.4,5.91,5.97
T1,Low,Low,pres +,10,300,25.5,25.7,0.85,0.86
T1,Plant.low,Plant,pres +,11,300,1176.1,176.7,5.87,5.89
T1,Low,Low,abs -,12,120,30.1,30.4,2.51,2.53
T1,High,High,pres +,13,300,10.7,10.3,0.36,0.34
T1,Low,Low,abs -,14,300,13.9,14,0.46,0.47
T1,Plant.low,Plant,abs -,15,120,414.6,418.5,34.55,34.91
T1,High,High,abs -,16,300,14.2,15.3,0.47,0.51
T1,Low,Low,pres +,17,300,27.5,27.2,0.92,0.91
T1,Plant.low,Plant,pres +,18,120,159.6,162.6,13.3,13.55
T2,Low,Low,pres +,1,300,34.6,35.2,1.15,1.17
T2,High,High,pres +,2,300,11,12.1,0.37,0.4
T2,Plant.low,Plant,abs -,3,120,96.2,97.3,8.02,8.11
T2,High,High,abs -,4,240,128.3,134.1,5.34,5.59
T2,Plant.low,Plant,pres +,5,120,63,63.2,5.25,5.27
T2,Low,Low,abs -,6,240,52.9,53.7,2.21,2.24
T2,High,High,pres +,7,180,10.2,9.6,0.56,0.54
T2,High,High,abs -,8,180,70.7,72.7,3.93,4.04
T2,Plant.low,Plant,abs -,9,120,94.8,95.6,7.9,7.97
T2,Low,Low,pres +,10,300,13.5,13.7,0.45,0.46
T2,Plant.low,Plant,pres +,11,120,220.4,223.3,18.37,18.61
T2,Low,Low,abs -,12,300,30,31.6,1,1.05
T2,High,High,pres +,13,300,10.1,10.1,0.34,0.33
T2,Low,Low,abs -,14,300,60.5,61.1,2.02,2.04
T2,Plant.low,Plant,abs -,15,180,213.5,207.6,11.86,11.53
T2,High,High,abs -,16,210,188.3,191,7.84,7.96
T2,Low,Low,pres +,17,300,15.1,14.9,0.5,0.5
T2,Plant.low,Plant,pres +,18,120,126.4,136.6,10.53,11.38
T3,Low,Low,pres +,1,250,72.6,73.5,2.9,2.94
T3,High,High,pres +,2,250,6.9,7.3,0.28,0.29
T3,Plant.low,Plant,abs -,3,82,85.3,84.5,10.4,10.31
T3,High,High,abs -,4,250,24.1,24.5,0.97,0.98
T3,Plant.low,Plant,pres +,5,140,213.6,204.2,15.26,14.59
T3,Low,Low,abs -,6,250,27.2,27.3,1.09,1.09
T3,High,High,pres +,7,250,6.5,6.6,0.28,0.27
T3,High,High,abs -,8,250,92.4,95.7,3.7,3.83
T3,Plant.low,Plant,abs -,9,68,81.8,80.2,12.03,11.79
T3,Low,Low,pres +,10,250,44.9,45,1.8,1.8
T3,Plant.low,Plant,pres +,11,250,35.7,35.6,1.43,1.42
T3,Low,Low,abs -,12,194,139.2,141.6,7.17,7.32
T3,High,High,pres +,13,250,13.3,12.5,0.53,0.5
T3,Low,Low,abs -,14,250,125.9,127.2,5.04,5.09
T3,Plant.low,Plant,abs -,15,60,104.9,105.9,17.48,17.65
T3,High,High,abs -,16,250,66,66.9,2.64,2.67
T3,Low,Low,pres +,17,250,30.1,30.1,1.2,1.2
T3,Plant.low,Plant,pres +,18,50,110.1,112.3,22.02,22.46
Blank,NA,NA,NA,NA,10,0,0,0.02,0.01
Blank ,NA,NA,NA,NA,0,0.1,0,0.08,0
Blank,NA,NA,NA,NA,0,0.2,0.2,0.01,0.01